Creating sequence-to-sequences 
with attention mechanism 

2016-08-08 12:03:11.322494
 1 layers of 1024 units  2 context size 128 bach-size. 
 128 batch size 2542 number of steps to complete one epoch 
global step 200 learning rate 0.0010 step-time 0.06 loss 1.47  perplexity 4.36 
global step 400 learning rate 0.0010 step-time 0.06 loss 1.21  perplexity 3.36 
global step 600 learning rate 0.0010 step-time 0.06 loss 1.18  perplexity 3.26 
global step 800 learning rate 0.0010 step-time 0.06 loss 1.17  perplexity 3.23 
global step 1000 learning rate 0.0010 step-time 0.06 loss 1.16  perplexity 3.20 
global step 1200 learning rate 0.0010 step-time 0.06 loss 1.15  perplexity 3.17 
global step 1400 learning rate 0.0010 step-time 0.06 loss 1.15  perplexity 3.15 
global step 1600 learning rate 0.0010 step-time 0.06 loss 1.15  perplexity 3.17 
global step 1800 learning rate 0.0010 step-time 0.06 loss 1.14  perplexity 3.14 
global step 2000 learning rate 0.0010 step-time 0.06 loss 1.16  perplexity 3.20 
global step 2200 learning rate 0.0010 step-time 0.06 loss 1.14  perplexity 3.14 
global step 2400 learning rate 0.0010 step-time 0.06 loss 1.14  perplexity 3.13 
epoch  0 finished 
  train:  loss 1.1424 perplexity 3.1343 
  eval:  loss 1.1547 perplexity 3.1731 
global step 2600 learning rate 0.0010 step-time 0.06 loss 1.15  perplexity 3.15 
global step 2800 learning rate 0.0010 step-time 0.06 loss 1.15  perplexity 3.15 
global step 3000 learning rate 0.0010 step-time 0.06 loss 1.14  perplexity 3.14 
global step 3200 learning rate 0.0010 step-time 0.06 loss 1.15  perplexity 3.14 
global step 3400 learning rate 0.0010 step-time 0.06 loss 1.15  perplexity 3.17 
global step 3600 learning rate 0.0010 step-time 0.06 loss 1.14  perplexity 3.14 
global step 3800 learning rate 0.0010 step-time 0.06 loss 1.15  perplexity 3.16 
global step 4000 learning rate 0.0010 step-time 0.06 loss 1.14  perplexity 3.13 
global step 4200 learning rate 0.0010 step-time 0.06 loss 1.14  perplexity 3.14 
global step 4400 learning rate 0.0010 step-time 0.06 loss 1.14  perplexity 3.14 
global step 4600 learning rate 0.0010 step-time 0.06 loss 1.14  perplexity 3.14 
global step 4800 learning rate 0.0010 step-time 0.06 loss 1.13  perplexity 3.10 
global step 5000 learning rate 0.0010 step-time 0.06 loss 1.14  perplexity 3.12 
epoch  1 finished 
  train:  loss 1.1480 perplexity 3.1519 
  eval:  loss 1.1596 perplexity 3.1887 
global step 5200 learning rate 0.0010 step-time 0.06 loss 1.15  perplexity 3.16 
global step 5400 learning rate 0.0010 step-time 0.06 loss 1.14  perplexity 3.12 
global step 5600 learning rate 0.0010 step-time 0.06 loss 1.14  perplexity 3.12 
global step 5800 learning rate 0.0010 step-time 0.06 loss 1.14  perplexity 3.14 
global step 6000 learning rate 0.0010 step-time 0.06 loss 1.14  perplexity 3.13 
global step 6200 learning rate 0.0010 step-time 0.06 loss 1.13  perplexity 3.11 
global step 6400 learning rate 0.0010 step-time 0.06 loss 1.14  perplexity 3.12 
global step 6600 learning rate 0.0010 step-time 0.06 loss 1.15  perplexity 3.15 
global step 6800 learning rate 0.0010 step-time 0.06 loss 1.15  perplexity 3.16 
global step 7000 learning rate 0.0010 step-time 0.06 loss 1.14  perplexity 3.13 
global step 7200 learning rate 0.0010 step-time 0.06 loss 1.15  perplexity 3.16 
global step 7400 learning rate 0.0010 step-time 0.06 loss 1.15  perplexity 3.16 
global step 7600 learning rate 0.0010 step-time 0.06 loss 1.16  perplexity 3.21 
epoch  2 finished 
  train:  loss 1.1546 perplexity 3.1727 
  eval:  loss 1.1642 perplexity 3.2032 
global step 7800 learning rate 0.0010 step-time 0.06 loss 1.16  perplexity 3.19 
global step 8000 learning rate 0.0010 step-time 0.06 loss 1.17  perplexity 3.21 
global step 8200 learning rate 0.0010 step-time 0.06 loss 1.17  perplexity 3.24 
global step 8400 learning rate 0.0010 step-time 0.06 loss 1.16  perplexity 3.20 
global step 8600 learning rate 0.0010 step-time 0.06 loss 1.16  perplexity 3.19 
global step 8800 learning rate 0.0010 step-time 0.06 loss 1.17  perplexity 3.21 
global step 9000 learning rate 0.0010 step-time 0.06 loss 1.16  perplexity 3.19 
global step 9200 learning rate 0.0010 step-time 0.06 loss 1.15  perplexity 3.17 
global step 9400 learning rate 0.0010 step-time 0.06 loss 1.15  perplexity 3.16 
global step 9600 learning rate 0.0010 step-time 0.06 loss 1.15  perplexity 3.16 
global step 9800 learning rate 0.0010 step-time 0.06 loss 1.15  perplexity 3.17 
global step 10000 learning rate 0.0010 step-time 0.06 loss 1.16  perplexity 3.18 
epoch  3 finished 
  train:  loss 1.1785 perplexity 3.2494 
  eval:  loss 1.1875 perplexity 3.2788 
global step 10200 learning rate 0.0010 step-time 0.06 loss 1.17  perplexity 3.24 
global step 10400 learning rate 0.0010 step-time 0.06 loss 1.15  perplexity 3.16 
global step 10600 learning rate 0.0010 step-time 0.06 loss 1.18  perplexity 3.24 
global step 10800 learning rate 0.0010 step-time 0.06 loss 1.17  perplexity 3.21 
global step 11000 learning rate 0.0010 step-time 0.06 loss 1.17  perplexity 3.22 
global step 11200 learning rate 0.0010 step-time 0.06 loss 1.17  perplexity 3.22 
global step 11400 learning rate 0.0010 step-time 0.06 loss 1.16  perplexity 3.20 
global step 11600 learning rate 0.0010 step-time 0.06 loss 1.16  perplexity 3.19 
global step 11800 learning rate 0.0010 step-time 0.06 loss 1.17  perplexity 3.23 
global step 12000 learning rate 0.0010 step-time 0.06 loss 1.16  perplexity 3.19 
global step 12200 learning rate 0.0010 step-time 0.06 loss 1.16  perplexity 3.18 
global step 12400 learning rate 0.0010 step-time 0.06 loss 1.16  perplexity 3.17 
global step 12600 learning rate 0.0010 step-time 0.06 loss 1.16  perplexity 3.20 
epoch  4 finished 
  train:  loss 1.1725 perplexity 3.2300 
  eval:  loss 1.1837 perplexity 3.2663 
global step 12800 learning rate 0.0010 step-time 0.06 loss 1.17  perplexity 3.23 
global step 13000 learning rate 0.0010 step-time 0.06 loss 1.17  perplexity 3.24 
global step 13200 learning rate 0.0010 step-time 0.06 loss 1.16  perplexity 3.20 
global step 13400 learning rate 0.0010 step-time 0.06 loss 1.18  perplexity 3.24 
global step 13600 learning rate 0.0010 step-time 0.06 loss 1.17  perplexity 3.21 
global step 13800 learning rate 0.0010 step-time 0.06 loss 1.18  perplexity 3.25 
global step 14000 learning rate 0.0010 step-time 0.06 loss 1.18  perplexity 3.24 
global step 14200 learning rate 0.0010 step-time 0.06 loss 1.18  perplexity 3.25 
global step 14400 learning rate 0.0010 step-time 0.06 loss 1.19  perplexity 3.29 
