Creating sequence-to-sequences 

2016-08-08 14:45:49.200477
 1 layers of 512 units  2 context size 128 bach-size. 
 128 batch size 2542 number of steps to complete one epoch 
global step 200 learning rate 0.0010 step-time 0.03 loss 1.49  perplexity 4.44 
global step 400 learning rate 0.0010 step-time 0.02 loss 1.19  perplexity 3.30 
global step 600 learning rate 0.0010 step-time 0.03 loss 1.17  perplexity 3.21 
global step 800 learning rate 0.0010 step-time 0.02 loss 1.16  perplexity 3.18 
global step 1000 learning rate 0.0010 step-time 0.02 loss 1.15  perplexity 3.15 
global step 1200 learning rate 0.0010 step-time 0.02 loss 1.13  perplexity 3.09 
global step 1400 learning rate 0.0010 step-time 0.02 loss 1.13  perplexity 3.10 
global step 1600 learning rate 0.0010 step-time 0.02 loss 1.13  perplexity 3.11 
global step 1800 learning rate 0.0010 step-time 0.02 loss 1.12  perplexity 3.07 
global step 2000 learning rate 0.0010 step-time 0.02 loss 1.12  perplexity 3.07 
global step 2200 learning rate 0.0010 step-time 0.02 loss 1.12  perplexity 3.06 
global step 2400 learning rate 0.0010 step-time 0.02 loss 1.11  perplexity 3.04 
epoch  0 finished 
  train:  loss 1.1155 perplexity 3.0511 
  eval:  loss 1.1311 perplexity 3.0990 
global step 2600 learning rate 0.0010 step-time 0.02 loss 1.12  perplexity 3.05 
global step 2800 learning rate 0.0010 step-time 0.02 loss 1.11  perplexity 3.04 
global step 3000 learning rate 0.0010 step-time 0.02 loss 1.11  perplexity 3.04 
global step 3200 learning rate 0.0010 step-time 0.02 loss 1.12  perplexity 3.05 
global step 3400 learning rate 0.0010 step-time 0.02 loss 1.10  perplexity 3.01 
global step 3600 learning rate 0.0010 step-time 0.02 loss 1.11  perplexity 3.02 
global step 3800 learning rate 0.0010 step-time 0.02 loss 1.11  perplexity 3.02 
global step 4000 learning rate 0.0010 step-time 0.02 loss 1.11  perplexity 3.04 
global step 4200 learning rate 0.0010 step-time 0.02 loss 1.10  perplexity 3.02 
global step 4400 learning rate 0.0010 step-time 0.02 loss 1.10  perplexity 3.01 
global step 4600 learning rate 0.0010 step-time 0.02 loss 1.09  perplexity 2.99 
global step 4800 learning rate 0.0010 step-time 0.02 loss 1.11  perplexity 3.03 
global step 5000 learning rate 0.0010 step-time 0.02 loss 1.11  perplexity 3.03 
epoch  1 finished 
  train:  loss 1.0979 perplexity 2.9980 
  eval:  loss 1.1216 perplexity 3.0697 
global step 5200 learning rate 0.0010 step-time 0.02 loss 1.11  perplexity 3.02 
global step 5400 learning rate 0.0010 step-time 0.02 loss 1.09  perplexity 2.98 
global step 5600 learning rate 0.0010 step-time 0.02 loss 1.10  perplexity 3.02 
global step 5800 learning rate 0.0010 step-time 0.02 loss 1.10  perplexity 3.01 
global step 6000 learning rate 0.0010 step-time 0.02 loss 1.10  perplexity 3.00 
global step 6200 learning rate 0.0010 step-time 0.02 loss 1.10  perplexity 2.99 
global step 6400 learning rate 0.0010 step-time 0.02 loss 1.10  perplexity 3.01 
global step 6600 learning rate 0.0010 step-time 0.02 loss 1.10  perplexity 3.00 
global step 6800 learning rate 0.0010 step-time 0.02 loss 1.09  perplexity 2.97 
global step 7000 learning rate 0.0010 step-time 0.02 loss 1.10  perplexity 3.00 
global step 7200 learning rate 0.0010 step-time 0.02 loss 1.09  perplexity 2.98 
