
2016-08-03 20:39:32.013726
Creating sequence-to-sequences 
with attention mechanism 
 2 layers of 1024 units  2 context size 128 bach-size. 
 128 batch size 2542 number of steps to complete one epoch 
global step 100 learning rate 0.0010 step-time 0.09 loss 1.76  perplexity 5.82 
global step 200 learning rate 0.0010 step-time 0.09 loss 1.40  perplexity 4.08 
global step 300 learning rate 0.0010 step-time 0.09 loss 1.32  perplexity 3.73 
global step 400 learning rate 0.0010 step-time 0.09 loss 1.24  perplexity 3.45 
global step 500 learning rate 0.0010 step-time 0.09 loss 1.22  perplexity 3.39 
global step 600 learning rate 0.0010 step-time 0.09 loss 1.18  perplexity 3.26 
global step 700 learning rate 0.0010 step-time 0.09 loss 1.18  perplexity 3.25 
global step 800 learning rate 0.0010 step-time 0.09 loss 1.16  perplexity 3.19 
global step 900 learning rate 0.0010 step-time 0.09 loss 1.16  perplexity 3.20 
global step 1000 learning rate 0.0010 step-time 0.09 loss 1.16  perplexity 3.19 
global step 1100 learning rate 0.0010 step-time 0.09 loss 1.18  perplexity 3.25 
global step 1200 learning rate 0.0010 step-time 0.09 loss 1.17  perplexity 3.24 
global step 1300 learning rate 0.0010 step-time 0.09 loss 1.15  perplexity 3.16 
global step 1400 learning rate 0.0010 step-time 0.09 loss 1.14  perplexity 3.14 
global step 1500 learning rate 0.0010 step-time 0.09 loss 1.14  perplexity 3.13 
global step 1600 learning rate 0.0010 step-time 0.09 loss 1.16  perplexity 3.17 
global step 1700 learning rate 0.0010 step-time 0.09 loss 1.14  perplexity 3.13 
global step 1800 learning rate 0.0010 step-time 0.09 loss 1.13  perplexity 3.08 
global step 1900 learning rate 0.0010 step-time 0.09 loss 1.13  perplexity 3.11 
global step 2000 learning rate 0.0010 step-time 0.09 loss 1.15  perplexity 3.15 
global step 2100 learning rate 0.0010 step-time 0.09 loss 1.14  perplexity 3.12 
global step 2200 learning rate 0.0010 step-time 0.09 loss 1.15  perplexity 3.16 
global step 2300 learning rate 0.0010 step-time 0.09 loss 1.13  perplexity 3.09 
global step 2400 learning rate 0.0010 step-time 0.09 loss 1.14  perplexity 3.12 
global step 2500 learning rate 0.0010 step-time 0.09 loss 1.13  perplexity 3.09 
epoch  0 finished 
  avg train batch:  loss 1.1974 perplexity 3.3116 
  eval:  loss 1.1435 perplexity 3.1489 
global step 2600 learning rate 0.0010 step-time 0.09 loss 1.14  perplexity 3.13 
global step 2700 learning rate 0.0010 step-time 0.09 loss 1.14  perplexity 3.12 
global step 2800 learning rate 0.0010 step-time 0.09 loss 1.14  perplexity 3.12 
global step 2900 learning rate 0.0010 step-time 0.09 loss 1.14  perplexity 3.14 
global step 3000 learning rate 0.0010 step-time 0.09 loss 1.13  perplexity 3.08 
global step 3100 learning rate 0.0010 step-time 0.09 loss 1.15  perplexity 3.14 
global step 3200 learning rate 0.0010 step-time 0.09 loss 1.15  perplexity 3.15 
global step 3300 learning rate 0.0010 step-time 0.09 loss 1.14  perplexity 3.11 
global step 3400 learning rate 0.0010 step-time 0.09 loss 1.13  perplexity 3.10 
global step 3500 learning rate 0.0010 step-time 0.09 loss 1.11  perplexity 3.03 
global step 3600 learning rate 0.0010 step-time 0.09 loss 1.13  perplexity 3.10 
global step 3700 learning rate 0.0010 step-time 0.09 loss 1.12  perplexity 3.06 
global step 3800 learning rate 0.0010 step-time 0.09 loss 1.13  perplexity 3.09 
global step 3900 learning rate 0.0010 step-time 0.09 loss 1.13  perplexity 3.08 
global step 4000 learning rate 0.0010 step-time 0.09 loss 1.14  perplexity 3.12 
global step 4100 learning rate 0.0010 step-time 0.09 loss 1.13  perplexity 3.09 
global step 4200 learning rate 0.0010 step-time 0.09 loss 1.12  perplexity 3.08 
global step 4300 learning rate 0.0010 step-time 0.09 loss 1.13  perplexity 3.08 
global step 4400 learning rate 0.0010 step-time 0.09 loss 1.13  perplexity 3.10 
global step 4500 learning rate 0.0010 step-time 0.09 loss 1.13  perplexity 3.09 
global step 4600 learning rate 0.0010 step-time 0.09 loss 1.12  perplexity 3.05 
global step 4700 learning rate 0.0010 step-time 0.09 loss 1.12  perplexity 3.07 
global step 4800 learning rate 0.0010 step-time 0.09 loss 1.13  perplexity 3.10 
global step 4900 learning rate 0.0010 step-time 0.09 loss 1.14  perplexity 3.11 
global step 5000 learning rate 0.0010 step-time 0.09 loss 1.13  perplexity 3.09 
epoch  1 finished 
  avg train batch:  loss 1.1303 perplexity 3.0966 
  eval:  loss 1.1423 perplexity 3.1444 
global step 5100 learning rate 0.0010 step-time 0.09 loss 1.12  perplexity 3.07 
global step 5200 learning rate 0.0010 step-time 0.09 loss 1.12  perplexity 3.07 
global step 5300 learning rate 0.0010 step-time 0.09 loss 1.12  perplexity 3.07 
global step 5400 learning rate 0.0010 step-time 0.09 loss 1.12  perplexity 3.08 
global step 5500 learning rate 0.0010 step-time 0.09 loss 1.12  perplexity 3.05 
global step 5600 learning rate 0.0010 step-time 0.09 loss 1.12  perplexity 3.08 
global step 5700 learning rate 0.0010 step-time 0.09 loss 1.13  perplexity 3.10 
global step 5800 learning rate 0.0010 step-time 0.09 loss 1.13  perplexity 3.10 
global step 5900 learning rate 0.0010 step-time 0.09 loss 1.12  perplexity 3.06 
global step 6000 learning rate 0.0010 step-time 0.09 loss 1.13  perplexity 3.09 
global step 6100 learning rate 0.0010 step-time 0.09 loss 1.12  perplexity 3.07 
global step 6200 learning rate 0.0010 step-time 0.09 loss 1.12  perplexity 3.05 
global step 6300 learning rate 0.0010 step-time 0.09 loss 1.12  perplexity 3.08 
global step 6400 learning rate 0.0010 step-time 0.09 loss 1.12  perplexity 3.07 
global step 6500 learning rate 0.0010 step-time 0.09 loss 1.15  perplexity 3.16 
global step 6600 learning rate 0.0010 step-time 0.09 loss 1.10  perplexity 3.00 
global step 6700 learning rate 0.0010 step-time 0.09 loss 1.13  perplexity 3.09 
global step 6800 learning rate 0.0010 step-time 0.09 loss 1.13  perplexity 3.11 
global step 6900 learning rate 0.0010 step-time 0.09 loss 1.13  perplexity 3.11 
global step 7000 learning rate 0.0010 step-time 0.09 loss 1.12  perplexity 3.07 
global step 7100 learning rate 0.0010 step-time 0.09 loss 1.12  perplexity 3.06 
global step 7200 learning rate 0.0010 step-time 0.09 loss 1.12  perplexity 3.07 
global step 7300 learning rate 0.0010 step-time 0.09 loss 1.13  perplexity 3.09 
global step 7400 learning rate 0.0010 step-time 0.09 loss 1.12  perplexity 3.07 
global step 7500 learning rate 0.0010 step-time 0.09 loss 1.11  perplexity 3.04 
global step 7600 learning rate 0.0010 step-time 0.09 loss 1.12  perplexity 3.07 
epoch  2 finished 
  avg train batch:  loss 1.1235 perplexity 3.0757 
  eval:  loss 1.1424 perplexity 3.1449 
global step 7700 learning rate 0.0010 step-time 0.09 loss 1.13  perplexity 3.09 
global step 7800 learning rate 0.0010 step-time 0.09 loss 1.12  perplexity 3.07 
global step 7900 learning rate 0.0010 step-time 0.09 loss 1.13  perplexity 3.10 
global step 8000 learning rate 0.0010 step-time 0.09 loss 1.13  perplexity 3.10 
global step 8100 learning rate 0.0010 step-time 0.09 loss 1.12  perplexity 3.06 
global step 8200 learning rate 0.0010 step-time 0.09 loss 1.13  perplexity 3.09 
global step 8300 learning rate 0.0010 step-time 0.09 loss 1.12  perplexity 3.07 
global step 8400 learning rate 0.0010 step-time 0.09 loss 1.13  perplexity 3.08 
global step 8500 learning rate 0.0010 step-time 0.09 loss 1.11  perplexity 3.05 
global step 8600 learning rate 0.0010 step-time 0.09 loss 1.12  perplexity 3.07 
global step 8700 learning rate 0.0010 step-time 0.09 loss 1.13  perplexity 3.08 
global step 8800 learning rate 0.0010 step-time 0.09 loss 1.13  perplexity 3.08 
global step 8900 learning rate 0.0010 step-time 0.09 loss 1.13  perplexity 3.09 
global step 9000 learning rate 0.0010 step-time 0.09 loss 1.11  perplexity 3.03 
global step 9100 learning rate 0.0010 step-time 0.09 loss 1.11  perplexity 3.05 
global step 9200 learning rate 0.0010 step-time 0.09 loss 1.12  perplexity 3.07 
global step 9300 learning rate 0.0010 step-time 0.09 loss 1.12  perplexity 3.07 
global step 9400 learning rate 0.0010 step-time 0.09 loss 1.12  perplexity 3.08 
