Creating sequence-to-sequences 

2016-08-09 03:14:17.841638
 3 layers of 512 units  2 context size 128 bach-size. 
 128 batch size 2542 number of steps to complete one epoch 
global step 100 learning rate 0.0010 step-time 0.08 loss 1.86  perplexity 6.40 
global step 200 learning rate 0.0010 step-time 0.07 loss 1.49  perplexity 4.44 
global step 300 learning rate 0.0010 step-time 0.07 loss 1.31  perplexity 3.70 
global step 400 learning rate 0.0010 step-time 0.07 loss 1.24  perplexity 3.44 
global step 500 learning rate 0.0010 step-time 0.07 loss 1.20  perplexity 3.32 
global step 600 learning rate 0.0010 step-time 0.07 loss 1.18  perplexity 3.26 
global step 700 learning rate 0.0010 step-time 0.07 loss 1.18  perplexity 3.25 
global step 800 learning rate 0.0010 step-time 0.07 loss 1.16  perplexity 3.19 
global step 900 learning rate 0.0010 step-time 0.07 loss 1.16  perplexity 3.19 
global step 1000 learning rate 0.0010 step-time 0.07 loss 1.15  perplexity 3.15 
global step 1100 learning rate 0.0010 step-time 0.07 loss 1.16  perplexity 3.17 
global step 1200 learning rate 0.0010 step-time 0.07 loss 1.15  perplexity 3.14 
global step 1300 learning rate 0.0010 step-time 0.07 loss 1.14  perplexity 3.12 
global step 1400 learning rate 0.0010 step-time 0.07 loss 1.13  perplexity 3.08 
global step 1500 learning rate 0.0010 step-time 0.07 loss 1.13  perplexity 3.11 
global step 1600 learning rate 0.0010 step-time 0.07 loss 1.13  perplexity 3.10 
global step 1700 learning rate 0.0010 step-time 0.07 loss 1.14  perplexity 3.12 
global step 1800 learning rate 0.0010 step-time 0.07 loss 1.13  perplexity 3.09 
global step 1900 learning rate 0.0010 step-time 0.07 loss 1.13  perplexity 3.10 
global step 2000 learning rate 0.0010 step-time 0.07 loss 1.12  perplexity 3.06 
global step 2100 learning rate 0.0010 step-time 0.07 loss 1.12  perplexity 3.06 
global step 2200 learning rate 0.0010 step-time 0.07 loss 1.13  perplexity 3.09 
global step 2300 learning rate 0.0010 step-time 0.07 loss 1.14  perplexity 3.12 
global step 2400 learning rate 0.0010 step-time 0.07 loss 1.13  perplexity 3.09 
global step 2500 learning rate 0.0010 step-time 0.07 loss 1.12  perplexity 3.07 
epoch  0 finished 
  train:  loss 1.1207 perplexity 3.0670 
  eval:  loss 1.1366 perplexity 3.1161 
global step 2600 learning rate 0.0010 step-time 0.07 loss 1.10  perplexity 3.02 
global step 2700 learning rate 0.0010 step-time 0.07 loss 1.13  perplexity 3.09 
global step 2800 learning rate 0.0010 step-time 0.07 loss 1.12  perplexity 3.07 
global step 2900 learning rate 0.0010 step-time 0.07 loss 1.12  perplexity 3.05 
